k,value
2,3.923638947654233E15
3,2.621411391521484E15
4,1.9337563388930765E15
5,1.7495112890906885E15
6,1.4781329941200042E15
7,1.2459376136439868E15
8,1.0013232188714415E15
9,8.592345552755358E14
10,7.56498918381054E14
11,6.696922966104708E14
12,6.16796022482117E14
13,5.50666261919603E14
14,5.317157599771221E14
15,5.468406421473571E14
16,4.575767687752734E14
17,4.426198811577526E14
18,4.5554524141854625E14
19,4.037496036921134E14
20,3.8853781797692175E14
21,3.74608198312299E14
22,3.455210984560481E14
23,3.4069284994992125E14
24,3.221677007711677E14
25,3.2349266994136856E14
26,2.9628041998998575E14
27,2.812076354207432E14
28,2.888463470907776E14
29,2.569580892422423E14
30,2.5251550537256362E14
31,2.3744060513466075E14
32,2.3047314565004238E14
33,2.179555237564804E14
34,2.249115202652818E14
35,2.0028724900097262E14
36,1.8385506907951725E14
37,1.789271416665377E14
38,1.717774941282289E14
39,1.6722447599517806E14
40,1.6382691962914034E14
41,1.6017857058604466E14
42,1.613214344383833E14
43,1.541318262668775E14
44,1.4546066762784188E14
45,1.4424254632229822E14
46,1.4147191382593116E14
47,1.3833496824382097E14
48,1.265706019496759E14
49,1.2626030384418484E14
50,1.2460496820079825E14
51,1.2186039291374098E14
52,1.2199944720883633E14
53,1.1067708085658723E14
54,1.2583635999424973E14
55,1.1011771105407822E14
56,1.0900289052634278E14
57,1.0464537360478488E14
58,1.0746471818994445E14
59,1.2162135218895331E14
60,1.0252447398763405E14
61,1.002165419111973E14
62,9.861973401376927E13
63,9.539753018949262E13
64,9.338675096086905E13
65,9.680019061913583E13
66,9.584693944200111E13
67,8.995487765956462E13
68,8.708356923728605E13
69,8.513834498711766E13
70,8.688629667802772E13
71,8.125749144502645E13
72,7.895678107276231E13
73,8.176172220629156E13
74,7.717997170154262E13
75,7.592952242286605E13
76,7.356157946323617E13
77,7.24228520127264E13
78,7.667424459210919E13
79,6.949272958206631E13
80,7.401386136589328E13
81,6.9892027299567375E13
82,6.991404047420422E13
83,6.8480701366349086E13
84,6.895625976913762E13
85,6.3567546497964234E13
86,6.520064830111763E13
87,6.512224791762957E13
88,6.11832092340538E13
89,6.2295535196509945E13
90,6.226602361405488E13
91,6.237251102355968E13
92,6.189746517608475E13
93,5.830925803859427E13
94,5.45006013460157E13
95,5.5656069506280836E13
96,5.6624298714075805E13
97,5.344653587746516E13
98,5.39989997913212E13
99,5.526481121088187E13
100,5.113206947209857E13
101,5.445886464029339E13
102,5.260911521680302E13
103,4.8765566473016016E13
104,4.989166653640739E13
105,4.778746047879176E13
106,4.83186207123854E13
107,5.002910572861175E13
108,4.969457568416877E13
109,4.657875872663274E13
110,4.851747346993114E13
111,4.605029403997435E13
112,4.5034002567618875E13
113,4.58506412663166E13
114,4.545577078915336E13
115,4.40353438703438E13
116,4.307047254164515E13
117,4.3152485890598664E13
118,4.377536926005544E13
119,4.220284940031759E13
120,4.196763000968057E13
121,4.096443210458809E13
122,4.135459682798131E13
123,4.176537802167005E13
124,4.0206384698739836E13
125,4.0346980631901664E13
126,3.8638298907705125E13
127,3.906719532369214E13
128,3.83203531735276E13
129,3.891080661205038E13
130,3.832087366680718E13
131,3.634242639386443E13
132,3.961302249517715E13
133,3.582971786769923E13
134,3.719093535601838E13
135,3.626000366779632E13
136,3.6244795366746695E13
137,3.614915601650018E13
138,3.55920562636913E13
139,3.4498683380307895E13
140,3.4034873936189742E13
141,3.4243902537075598E13
142,3.440392563623377E13
143,3.4609428816556973E13
144,3.4641156123872445E13
145,3.4299630139624855E13
146,3.4110038877776395E13
147,3.158774470012744E13
148,3.2815241182672727E13
149,3.2399658154943223E13
150,3.1884941839515637E13
